"id","logos","section","paragraph","text","source","page_start","page_end","sequence","token_count","text_hash","biblical_citations","incomplete","partial"
"1","Α΄","","Περὶ μετανοίας καὶ βασιλείας αἰωνίου","","Stefanis 1996","75","75","1","0","","","True","False"
"2","Β΄","§1","Εἰς τὰ τῆς μετανοίας ἐπίλοιπα","***] ὑπὲρ νοῦν θεαμάτων ἐκείνων, τὸ δὲ μῆκος καὶ πλάτος καὶ μέγεθος τοῦ θείου λειμῶνος ἐκείνου ὁ ἄρδων αὐτὸν ἐδήλωσε ποταμός· ποταμὸς γάρ, φησίν, ἐκπορεύεται ἐξ Ἐδὲμ ποτίζειν τὸν παράδεισον. Διατί δὲ ἀρδείαν καὶ ποταμοῦ ἐδήλωσε μέγεθος; ἴσμεν γὰρ ὅτι οὐκ ἔστι παράδεισος μὴ ἔχων νᾶμα πηγαῖον τοῦτον ἐπάρδον· ἀλλ᾿ ἵνα πάντως ἐκ τοῦ ἀρδικοῦ πλήθους τῶν ὑδάτων ἐκείνων μυηθῶμεν τοῦ ἀρδομένου τὸ μέγεθος· ἐκεῖθεν, φησίν, ἀφορίζεται εἰς τέσσαρας ἀρχάς, τὸν Φισὼν δηλῶν καὶ Γεὼν σὺν τῷ Τίγρει καὶ Εὐφράτῃ, ἐξ ὧν εἷς μόνος ἱκανεῖ ἀρδεῦσαι πλάτος γῆς ἀπειρότατον· τί δὲ λοιπὸν οἱ τέσσαρες ὁμοῦ ἀναβλύζοντες καὶ ἀρδεύοντες ἅμα τὸν θεῖον παράδεισον; Εἴη δὲ ἡμᾶς τῆς τούτου εὐκαίρως τυχεῖν ἀπολαύσεως καὶ τρυφῆς ἀκηράτου.","Stefanis 1996","75","75","2","113","56d0b188faa319923005e10efe720d66329ca01ae4598d8578733ce98a56aad9","","True","True"
"3","Β΄","§2","Εἰς τὰ τῆς μετανοίας ἐπίλοιπα","Ἐπεὶ δὲ παραδείσους παραδείσῳ συγκρίναντες, ὡς προειρήκαμεν, καὶ μικρὰ ἐκ τῶν μεγάλων τῷ λόγῳ κατετρυφήσαμεν, ἐξίωμεν ἤδη πρὸς τὰ βασίλεια πορευόμενοι καὶ ὡς ἐν εἰκόσι καὶ τύποις ἐντεῦθεν τὰ ἐκεῖ κατοπτεύσωμεν. Ὅρα τὸν βασιλέα τὸν ἐπὶ γῆς καὶ τὴν δόξαν αὐτοῦ καὶ τὴν λαμπρὰν βασιλείαν, τὴν φαιδρὰν ἁλουργίδα, τὰς φανοτάτους οἰκίας, τοὺς ταξιάρχους, τὰ στρατόπεδα, τοὺς υἱούς, τοὺς φίλους, τοὺς δούλους, τοὺς ἐχθρούς, τὸν θρόνον, τὸν βασιλέα, τὴν κρίσιν, τὴν τάξιν, τοὺς παρέδρους, τοὺς ἐγγύς, τοὺς μήκοθεν, τοὺς πόρρω, τοὺς ὑπευθύνους, τοὺς ἀνευθύνους, τοὺς κληρονόμους, τὸ διάδημα, περὶ οὗ μνείαν ποιεῖται ὁ Σολομὼν βουλόμενος δεῖξαι διὰ τοῦ προσκαίρου τὸ ἀθάνατον, ὅτε λήψονται τὸ βασίλειον τῆς εὐπρεπείας καὶ τὸ διάδημα τοῦ κάλλους ἐκ χειρὸς Κυρίου.","Stefanis 1996","75","75","3","114","9e2045d2632a24848dd5cdea30807c7749361afab59fa318c9612a73854875fa","","False","False"
"4","Β΄","§3","Εἰς τὰ τῆς μετανοίας ἐπίλοιπα","Καὶ εἰ ταῦτα μὲν ῥητὰ καὶ αἰσθητὰ ὄντα οὐ δύναται ῥᾳδίως ὁ λόγος ἀπαριθμῆσαι, ἐπεὶ καὶ αὕτη ἡ πρόσκαιρος βασιλεία πλείστους κρυφίους κέκτηται θησαυρούς, πῶς ἂν δυνήσηται τὴν ἄρρητον βασιλείαν ἐκείνην καὶ τὸν ἄφραστον πλοῦτον ὁ λόγος δηλῶσαι; Σιωπῆς χρεία λοιπὸν καὶ μόνον θαυμάζειν ἐκ τῶν ὁρωμένων τὰ μὴ ὁρώμενα, οἷον τὸ ἀνέσπερον φῶς, τὸν πλοῦτον τὸν ἄφραστον, τὴν δόξαν τὴν ἄληκτον, τὰ στίφη τῶν σῳζομένων, τὴν χιλίων χιλιάδων καὶ μυρίων μυριάδων ἀγλαϊφόρον πληθύν, δηλαδὴ τῶν ἀγγέλων καὶ ἀρχαγγέλων καὶ ἀρχῶν, τῶν ἐξουσιῶν, τῶν δυνάμεων ἅμα τῶν κυριοτήτων, τῶν σεραφίμ, τῶν χερουβὶμ καὶ τῶν θείων θρόνων ἐκείνων τὴν τρισάγιον ὑμνῳδίαν, τῆς ἀγαλλιάσεως τὴν φωνήν, τὴν πόλιν τὴν ἄρρητον, ἧς τεχνίτης καὶ δημιουργὸς ὁ Θεός.","Stefanis 1996","75","76","4","114","0e0f83e31cf4ec30f34acd6d74a3cd13952c997b81a16241b8aa39ac2890c2ed","","False","False"
"5","Β΄","§4","Εἰς τὰ τῆς μετανοίας ἐπίλοιπα","Εἰ δέ τις ἡμᾶς ἀπαιτεῖ φάναι τί ἐστιν βασιλεία, φῶμεν ὅτι ἀμήχανον λέξαι σαφῶς τί ἐστι βασιλεία ἢ τί ἐστιν ὁ αὐτῆς βασιλεύς. Ὁπηνίκα γὰρ ὤφθη ἐπὶ τῆς γῆς ὁ θεάνθρωπος αὐτῆς βασιλεὺς καὶ τοῖς ἀνθρώποις συνανεστράφη, πολλάκις παραβολικῶς μέμνηται βασιλείας, τὴν δὲ φύσιν αὐτῆς οὐκ ἐδήλωσεν. Ἔλεγε γάρ· Ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ σπείροντι καλὸν σπέρμα ἐν τῷ ἀγρῷ αὐτοῦ, καὶ αὖθις· Ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν κόκκῳ σινάπεως, καί· Ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν ζύμῃ καὶ τὰ ἑξῆς, καὶ αὖθις· Ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν θησαυρῷ κεκρυμμένῳ ἐν ἀγρῷ, καὶ πάλιν· Ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν σαγήνῃ βληθείσῃ εἰς τὴν θάλασσαν, καί· Ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ οἰκοδεσπότῃ, ὅστις ἐξῆλθεν ἅμα πρωῒ μισθώσασθαι ἐργάτας εἰς τὸν ἀμπελῶνα αὐτοῦ καὶ τὰ ἑξῆς, καὶ ὅτι· Ὁμοία ἐστὶν ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ βασιλεῖ, ὃς ἠθέλησε συνᾶραι λόγον μετὰ τῶν δούλων αὐτοῦ, καὶ αὖθις· Ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ βασιλεῖ, ὅστις ἐποίησε γάμους τῷ υἱῷ αὐτοῦ, καὶ ὅτι· Ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν δέκα παρθένοις.","Stefanis 1996","76","76","5","172","0e3800097adbe41f186e24281acb7c5503a6bc170352d7fea92fd68b48c25e07","","False","False"
"6","Β΄","§5","Εἰς τὰ τῆς μετανοίας ἐπίλοιπα","Ὁρᾷς ὁσαχῶς ἐμνημόνευσε βασιλείας καὶ τὴν φύσιν αὐτῆς οὐκ ἐδήλωσεν; Ὅρα δὲ ὅτι ἐν ταῖς δυσὶν ἐσχάταις παραβολαῖς δείκνυσιν ὁ Δεσπότης τὴν χαρὰν τοῦ θείου νυμφῶνος ἐκείνου καὶ ὅτι ὁ μὴ ἔχων ἔνδυμα γάμου ἐκεῖθεν πρὸς τιμωρίαν ἀπελαθήσεται, τῇ δὲ μωρᾷ παρθενίᾳ ἐστὶν ἀπρόσιτος· αἱ δὲ λοιπαὶ θεῖαι παραβολαὶ διαφόρους καὶ προσηκούσας κέκτηνται τὰς ἐννοίας καὶ ὡς ῥεῖθρα θεόβρυτα ψυχὰς ἀρδεύουσι τῶν πιστῶν.","Stefanis 1996","76","76","6","63","e40fd7a2eaa44fafa603c9dd0ff9d252acc1d8e741f58072c008b7e7f8836436","","False","False"
"7","Β΄","§6","Εἰς τὰ τῆς μετανοίας ἐπίλοιπα","Γένοιτο δὲ ἡμᾶς τὰ θεῖα ταῦτα ποτίζεσθαι ῥεῖθρα ὡς τὴν Σαμαρείτιδα ἐκείνην γυναῖκα καὶ τὴν ἄνοιαν μὲν εἰλικρινῶς διαφυγεῖν, προσδραμεῖν δὲ τῇ μετανοίᾳ θερμῶς καὶ ἐκ τῶν προσκαίρων τὰ αἰώνια καθορᾶν, καθάπερ καὶ ὁ λόγος ἀμυδρῶς διεξῆλθε, καὶ τῆς αἰωνίου βασιλείας ἀξιωθῆναι χάριτι καὶ φιλανθρωπίᾳ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, μεθ᾿ οὗ τῷ Πατρὶ ἅμα τῷ ἁγίῳ Πνεύματι πρέπει πᾶσα δόξα, τιμὴ καὶ προσκύνησις νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας τῶν αἰώνων· ἀμήν. ΤΟΥ ΑΥΤΟΥ","Stefanis 1996","76","76","7","76","ab0c5ca6bd28bbac3115e9cd5cafe588bbee2e0f83cef4d9b7555651f581fa67","","False","False"
"8","Γ΄","§1","Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν","Πρῶτον περὶ πρώτης θείας φωνῆς καὶ ἐντολῆς, τῆς σωστικῆς φημι μετανοίας καὶ βασιλείας αἰωνίου, διαλεχθέντες, ὡς ἡ τοῦ παναγίου Πνεύματος ἐχορήγησε χάρις, καὶ τὸν λόγον ἀποτιθέμενοι, δευτεραῖοι πρὸς παράδεισον ἄλλον ὡς ἐκ παραδείσου, πρὸς υἱοθεσίαν καὶ ἀγάπην, ποιούμεθα τὴν πορείαν, ἤγουν τῆς τοῦ θείου βαπτίσματος χάριτος. Διὸ καὶ ἐβαπτίζοντο … ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν, καί· Ἐὰν μή τις γεννηθῇ ἄνωθεν, ἤγουν δι᾿ ὕδατος καὶ πνεύματος, οὐ μὴ εἰσέλθῃ, φησίν, εἰς τὴν βασιλείαν τῶν οὐρανῶν, καί· Μετανοήσατε, καὶ βαπτισθήτω, φησίν, ἕκαστος ὑμῶν καὶ τὰ ἑξῆς· καὶ αὖθις· Ὅσοι, φησίν, ἔλαβον αὐτὸν (διὰ λουτροῦ παλιγγενεσίας) ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα Θεοῦ γενέσθαι.","Stefanis 1996","76","77","8","99","2b2d6583f4c0467b8d653391a2c842cacc2355f6312ef809ca954f7e687b7727","","False","False"
"9","Γ΄","§2","Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν","Εἰκότως ἥρμοσται τῇ μετανοίᾳ τὸ βάπτισμα, καὶ τούτῳ ἡ υἱοθεσία, μεθ᾿ ἣν ἡ κραταιὰ τῶν ἀγαθῶν κορωνίς, τὸ τοῦ νόμου πλήρωμα καὶ πάντων τῶν προφητῶν, τὸ ἀποστολικὸν ἐγκαλλώπισμα, τῆς μαθητείας τὸ γνώρισμα· Ἐν τούτῳ, φησί, γνώσονται πάντες ὅτι ἐμοί ἐστε μαθηταί, ἐὰν ἀγάπην ἔχητε ἐν ἀλλήλοις· οὐχ ἵνα νεκροὺς ἀναστήσητε καὶ λεπροὺς καθαρίσητε καὶ δαίμονας ἀπελάσητε καὶ τυφλοὺς ὀμματώσητε, οὐκ ἐντεῦθεν γνώσονται πάντες ὅτι ἐμοί ἐστε μαθηταί, ἐπεὶ καὶ πολλοὶ ἐροῦσί μοι ἐν ἐκείνῃ τῇ ἡμέρᾳ· Κύριε Κύριε, οὐ τῷ σῷ ὀνόματι προεφητεύσαμεν καὶ δαιμόνια ἐξεβάλομεν καὶ δυνάμεις πολλὰς ἐποιήσαμεν; καὶ τότε ὁμολογήσω αὐτοῖς ὅτι οὐδέποτε ἔγνων ὑμᾶς· ἀλλ᾿ ἐν τούτῳ γνώσονται πάντες ὅτι ἐμοί ἐστε μαθηταί, ἐὰν ἀγάπην ἔχητε ἐν ἀλλήλοις· τὰ γὰρ σημεῖα διαβάλλειν ἴσως ἐπιχειροῦσιν οἱ πονηροί, ὡς ἐκ γοητείας καὶ ἐκ Βεελζεβούλ, τὴν δὲ ἀγάπην θαυμάσωσι πάντες· ὁπηνίκα καὶ ἐχθροὺς λογίζεσθε ὡς φίλους, τότε γνώσονται πάντες ὅτι ἐμοί ἐστε μαθηταί.","Stefanis 1996","77","77","9","144","1c7da3ba89e3aa2e14c0184ae70e7a42cf42316b0dc0824f25bbe179f0a86b2c","","False","False"
"10","Γ΄","§3","Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν","Ἐντολὴν καινὴν δίδωμι ὑμῖν, ἵνα ἀγαπᾶτε ἀλλήλους, καθὼς ἠγάπησα ὑμᾶς. Τί ἐστιν καθὼς ἠγάπησα ὑμᾶς; ἐπειδὴ ἔστι καὶ ἀγάπη σαρκικὴ καὶ ἀγάπη σατανική, ὡσαύτως καὶ ὑποκριτική, προσέθηκε τό· Καθὼς ἠγάπησα ὑμᾶς. Ἠγάπησα ὑμᾶς ἀγάπην ἀπὸ καρδίας, ἀγάπην θεϊκήν, ἀγάπην σωτήριον, ἀγάπην πρὸς βασιλείαν, ὥστε καὶ τὸ αἷμά μου δίδωμι λύτρον ὑπὲρ τοῦ κόσμου καὶ τὴν ψυχήν μου τίθημι ὡς ποιμὴν ἀγαθὸς ὑπὲρ προβάτων ἰδίων. Καὶ ὑμῖν ἐντέλλομαι τοῦτο, ἵνα ἀγαπᾶτε ἀλλήλους, καθὼς ἠγάπησα ὑμᾶς· μεῖζον γὰρ ταύτης ἀγάπην οὐδεὶς ἔχει, ἵνα τις τὴν ψυχὴν αὐτοῦ θῇ ὑπὲρ τῶν φίλων αὐτοῦ· καὶ ὑμεῖς φίλοι μού ἐστε, ἐὰν ποιῆτε ἃ ἐντέλλομαι ὑμῖν· καὶ τὴν ψυχήν μου τίθημι ὑπὲρ πάντων ὑμῶν.","Stefanis 1996","77","77","10","108","94f9f0bfd2ebebdd5ef25a1726ad185b950805895b6169899f60a8baa7d3f6cc","","False","False"
