id,logos,section,paragraph,tec_category,secondary_category,polarity,confidence,justification,error,page_start,biblical_citations
3,Β΄,§2,Εἰς τὰ τῆς μετανοίας ἐπίλοιπα,ΕΛΠΙΔΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Θετικό,0.78,Η εικόνα της επίγειας βασιλείας χρησιμεύει ως τύπος και σκιά της ουράνιας δόξας — η ανάληψη διαδήματος ἐκ χειρὸς Κυρίου εκφράζει εσχατολογική ελπίδα με έντονα θετική φόρτιση.,,75,
4,Β΄,§3,Εἰς τὰ τῆς μετανοίας ἐπίλοιπα,ΔΟΞΟΛΟΓΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Θετικό,0.91,"Η συσσώρευση εικόνων ἄρρητης βασιλείας, ἀνέσπερου φωτός, αγγελικής ὑμνῳδίας και ἀγαλλίασης δημιουργεί εκστατική αγαλλίαση μπροστά στο θεϊκό μεγαλείο, με δευτερεύουσα εσχατολογική διάσταση.",,75,
5,Β΄,§4,Εἰς τὰ τῆς μετανοίας ἐπίλοιπα,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Ουδέτερο,0.72,"Η παράγραφος συγκεντρώνει παραβολές της Βασιλείας των Ουρανών με διδακτικό-αναλυτικό τόνο, χωρίς έντονο συναίσθημα, αλλά με εσχατολογικό ορίζοντα ως κεντρικό θεματικό άξονα.",,76,
6,Β΄,§5,Εἰς τὰ τῆς μετανοίας ἐπίλοιπα,ΕΣΧΑΤΟΛΟΓΙΑ,ΔΟΞΟΛΟΓΙΑ,Αρνητικό,0.78,"Η παράγραφος επικεντρώνεται στο θείο νυμφώνα και την απέλαση προς τιμωρίαν όσων στερούνται ενδύματος γάμου, με κυρίαρχο εσχατολογικό τόνο, ενώ η εικόνα των θεόβρυτων ρείθρων προσθέτει δευτερευόντως δοξολογικό χρωματισμό.",,76,
7,Β΄,§6,Εἰς τὰ τῆς μετανοίας ἐπίλοιπα,ΕΛΠΙΔΑ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.82,Η επευκτική δομή (Γένοιτο) συνδυάζει ελπίδα αιώνιας βασιλείας με θερμή μετάνοια και κλείνει σε δοξολογική τριαδολογική διατύπωση — κυριαρχεί η εσχατολογική ελπίδα ως θετική φόρτιση.,,76,
8,Γ΄,§1,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΕΛΠΙΔΑ,Θετικό,0.81,"Κυριαρχεί κανονιστικός-διδακτικός τόνος με αλληλουχία βιβλικών εντολών (Μετανοήσατε, βαπτισθήτω) ανοιγμένος όμως σε θετική προοπτική υιοθεσίας και βασιλείας, που προσδίδει δευτερεύουσα χροιά ελπίδας.",,76,
9,Γ΄,§2,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΕΝΤΟΛΗ,Θετικό,0.91,"Η τετραπλή επανάληψη «ἐὰν ἀγάπην ἔχητε ἐν ἀλλήλοις» ως αποκλειστικό γνώρισμα μαθητείας αναδεικνύει την ἀγάπη ως κορωνίδα πάνω από θαύματα και προφητείες, με έντονη θετική συναισθηματική φόρτιση.",,77,
10,Γ΄,§3,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΕΝΤΟΛΗ,Θετικό,0.95,"Η πενταπλή επανάληψη ἀγάπην και η εικόνα του ποιμένος που δίδει την ψυχήν του αποτελούν την πληρέστερη έκφραση θεϊκής αγάπης ως προτύπου, ενώ η εντολή ἀγαπᾶτε ἀλλήλους λειτουργεί ως δευτερεύουσα κανονιστική διάσταση.",,77,
11,Γ΄,§4,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.82,"Κυρίαρχος κανονιστικός τόνος με απόδοση της εντολής μαθητεύσατε/τηρεῖν, με ελαφρά δοξολογική χροιά στο φαιδρὰν ἐξανάστασιν.",,77,
12,Γ΄,§5,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.88,"Κυριαρχεί κανονιστικός τόνος με τέσσερις προστακτικές εγκλίσεις (ἀγαπᾶτε, εὐλογεῖτε, ποιεῖτε, προσεύχεσθε), ενώ το περιεχόμενο της εντολής αγάπης προς τους εχθρούς εισάγει δευτερεύοντα συναισθηματικό τόνο αγάπης.",,77,
13,Γ΄,§6,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Θετικό,0.78,"Κυριαρχεί κανονιστικός-διδακτικός τόνος με σαφείς εντολές μίμησης του Θεού, αλλά η εικόνα της θεϊκής φιλανθρωπίας (ἥλιος, ὑετός, εὐεργετεῖ, θάλπει) και η πρόσκληση σε καθολική ἀγάπη εισάγουν έντονο δευτερεύον στοιχείο αγάπης.",,77,
14,Γ΄,§7,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Θετικό,0.78,"Ο λόγος έχει κανονιστικό-διδακτικό πυρήνα (ἔσεσθε τέλειοι, πώλησόν, δὸς, ἀκολούθει) αλλά διαπνέεται από θερμή προτροπή αγάπης προς πάντας ως οδό τελειότητας.",,78,
15,Γ΄,§8,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΕΛΠΙΔΑ,Θετικό,0.81,"Σειρά απαρεμφάτων-εντολών (ἀγαπᾶν, εὐλογεῖν, πωλεῖν, διανέμειν) με διδακτική ανάλυση ωφελειών και κλείσιμο σε εσχατολογική υπόσχεση ζωῆς αἰωνίου — κυρίαρχος κανονιστικός τόνος, δευτερευόντως ελπίδα.",,78,
16,Γ΄,§9,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.81,"Ο κανονιστικός τόνος των προστακτικών (ἀγαπᾶτε, εὐλογεῖτε, καλῶς ποιεῖτε, προσεύχεσθε) κυριαρχεί, αλλά το φρικτῶς αποτελεί εσχατολογική απειλή που φορτίζει αρνητικά το σύνολο.",,78,
17,Γ΄,§10,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΕΝΤΟΛΗ,Θετικό,0.87,"Η εικόνα του φιλόστοργου πατέρα που φροντίζει με επιμέλεια την γαλήνη της καρδιάς κυριαρχεί συναισθηματικά, ενώ οι επιμέρους προστακτικές (στρέψον, ὕπαγε, ἄφες) εκφράζουν αγάπη-ως-πράξη και όχι ξηρό κανονισμό.",,78,
18,Γ΄,§11,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.82,"Ο συγγραφέας αναλύει με διδακτικό-κανονιστικό τόνο τις εντολές του Δεσπότη (ἀγαπᾶν ἐχθρούς, μὴ ἀντιστήκειν, παρέχειν χιτῶνα), ενώ η εικόνα του γεωργοῦ-Δεσπότη εισάγει δευτερεύουσα χροιά αγάπης-προστασίας.",,79,
19,Γ΄,§12,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.78,Ρητορικό ερώτημα προς τον Δεσπότη που αναλύει διδακτικές εντολές υπομονής και ανεξικακίας — κανονιστικός τόνος με ήπιο δέος μπροστά στη δυσκολία της εντολής.,,79,
20,Γ΄,§13,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΕΛΠΙΔΑ,Θετικό,0.81,"Σειρά προστακτικών οδηγιών περί ταπεινώσεως και μη αντιστάσεως στο κακό, με εσχατολογικό κίνητρο (διπλοῦν στέφανον, μισθόν ἐν οὐρανοῖς) που προσδίδει θετική ελπιδοφόρα φόρτιση.",,79,
21,Γ΄,§14,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.82,"Σειρά προστακτικών (ἄφες, ὕπαγε, διαλλάγηθι, πρόσφερε) με κανονιστική αιτιολόγηση περί αποδοχής δώρου — διδακτικός τόνος με υπόρρητη αξία της αδελφικής συμφιλίωσης.",,79,
22,Γ΄,§15,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.81,"Σαφής βαθμωτή κανονιστική διαδικασία αδελφικής επίπληξης με διαδοχικές προστακτικές (ἔλεγξον, παράλαβε, εἰπέ), ενώ οι εσχατικές αναφορές οὐαί προσθέτουν δευτερεύοντα κατηγορικό τόνο.",,79,
23,Γ΄,§16,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Ουδέτερο,0.74,Ο λόγος κινείται στον κανονιστικό χώρο — διδάσκει πώς να αντιμετωπίζει κανείς τα σκάνδαλα χωρίς να βαρύνεται από το «ἀπειλούμενον οὐαί» — με ήπια εσχατολογική υποτόνια (ἀπειλούμενον οὐαί).,,80,
24,Γ΄,§17,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΕΝΤΟΛΗ,Θετικό,0.87,Η παράγραφος παρουσιάζει τον Χριστό ως υπόδειγμα ταπεινής αγάπης που αγαπά ακόμη και τον προδότη εχθρό — η πρόσφωνηση «Ἑταῖρε» ως πράξη συγχώρησης ορίζει τον διδακτικό τόνο που απορρέει από παθιασμένη θεϊκή αγάπη.,,80,
25,Γ΄,§18,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.87,"Παρά την αλυσίδα παθών και ταπεινώσεων, ο τόνος κορυφώνεται στη μακροθυμία και την ευχή συγχώρεσης του Χριστού υπέρ των σταυρωτών Του — ανώτατη εκδήλωση θεϊκής αγάπης και ανεξικακίας.",,80,
26,Γ΄,§19,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΜΕΤΑΝΟΙΑ,Ουδέτερο,0.74,"Κυριαρχεί κανονιστικός-διδακτικός τόνος (ἐντέλλεται, εὔχεσθαι) με θεολογική επιχειρηματολογία περί εὐχῆς ὑπὲρ ἐχθρῶν, ενώ η μετάνοια λειτουργεί ως κριτήριο ωφέλειας και όχι ως συναίσθημα.",,80,
27,Γ΄,§20,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.74,Διδακτική ανάλυση της εντολής υπὲρ ἐχθρῶν εὔχεσθαι με πρακτική παιδαγωγική λογική — κανονιστικός τόνος που υπαινίσσεται αγάπη ως τελικό ζητούμενο.,,81,
28,Γ΄,§21,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.87,Η απειλή παράδοσης στους βασανιστές και κατάκλεισης σε φυλακή συνιστά εσχατολογική τιμωρία με έντονο κατηγορηματικό χαρακτήρα κατά της αδυσώπητης καρδίας.,,81,
29,Γ΄,§22,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.74,"Ο Νεόφυτος εκθέτει διδακτικά τη διαβάθμιση της εντολής της συγχώρεσης — από το τέλειο κατόρθωμα των πνευματικών ανδρών ως τον ελάχιστο κανόνα των ασθενεστέρων — με κανονιστικό και παιδαγωγικό τόνο, αφήνοντας να διαφανεί η αγάπη ως τελικός σκοπός.",,81,
30,Γ΄,§23,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.78,"Μεταβατική-συντακτική φράση που ανακεφαλαιώνει τις εντολές περί αγάπης και προαναγγέλλει την επισφράγιση του λόγου — κυρίαρχος τόνος διδακτικός-κανονιστικός, με υπόρρητη αναφορά στο θέμα της αγάπης.",,81,
31,Γ΄,§24,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.74,"Διδακτικός-κανονιστικός τόνος με προτρεπτικές εγκλίσεις (ἀκούσωμεν, φυλάξωμεν, ποιήσωμεν) που προετοιμάζουν τη διδασκαλία περί ἀγάπης, ενώ η εικόνα του εὐγνώμονος δούλου υποδηλώνει πιστή και αγαπητική υπακοή.",,81,
32,Γ΄,§25,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΕΝΤΟΛΗ,Θετικό,0.97,"Το παράθεμα του Παύλου (Αʹ Κορ. 13) αναπτύσσει με επαναληπτική ρητορική δομή την αγάπη ως υπέρτατη αξία — η τριπλή ανάδειξη 'ἀγάπην δὲ μὴ ἔχω' και η κατακλείδα 'ἡ ἀγάπη οὐδέποτε ἐκπίπτει' αποδίδουν θερμή, βεβαιωτική φόρτιση.",,82,
33,Γ΄,§26,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΑΓΑΠΗ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.82,Το παράθεμα του Παύλου (Α΄ Κορ. 13) και η αντίστοιχη ευαγγελική περικοπή συγκλίνουν στο συμπέρασμα ότι χωρίς ἀγάπην κάθε χάρισμα και θυσία είναι ανώφελα — η αγάπη αναδεικνύεται ως απόλυτη αξία μέσα από την ελεγκτική καταδίκη της ανομίας.,,82,
34,Γ΄,§27,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.78,"Η παράγραφος συγκεντρώνει σειρά κανονιστικών προστακτικών (ἀγαπᾶτε, εὐλογεῖτε, ποιεῖτε, προσεύχεσθε, στρέψον) που αποτυπώνουν διδακτικό τόνο εντολής, ενώ η εισαγωγική παύλεια ανάπτυξη της ἀγάπης προσθέτει δευτερευόντως τη θερμή χροιά της κατηγορίας ΑΓΑΠΗ.",,82,
35,Γ΄,§28,Περὶ τοῦ θείου βαπτίσματος καὶ τῆς ἁγίας ἀγάπης καὶ πλείστων ἑτέρων θείων ἐντολῶν,ΔΟΞΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Θετικό,0.91,"Η παράγραφος κορυφώνεται σε τριαδική δοξολογία («πᾶσα δόξα, τιμὴ καὶ προσκύνησις») με τυπικό λειτουργικό κλείσιμο «νῦν καὶ ἀεὶ καὶ εἰς τοὺς αἰῶνας», ενώ η επευκτική αρχή («Γένοιτο») εισάγει δευτερευόντως κανονιστική διάσταση περί τήρησης εντολών.",,82,
36,Δ΄,§1,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.72,"Προοιμιακή απολογητική παράγραφος με κανονιστικό-διδακτικό χαρακτήρα: ο συγγραφέας αιτιολογεί την πρωτοβουλία του έργου απευθυνόμενος σε πιθανούς επικριτές, χωρίς έντονη συναισθηματική φόρτιση.",,82,
